Ticks, Sane, Infected, Recovered
1,400,10,0
5,400,10,0
10,400,10,0
15,400,10,0
20,400,10,0
25,400,10,0
30,400,10,0
35,400,10,0
40,400,10,0
45,400,10,0
50,400,10,0
55,398,12,0
60,398,12,0
65,398,12,0
70,398,12,0
75,398,12,0
80,396,14,0
85,395,15,0
90,395,15,0
95,395,15,0
100,395,15,0
105,394,16,0
110,394,15,1
115,393,16,1
120,393,16,1
125,393,16,1
130,391,18,1
135,390,19,1
140,390,19,1
145,390,19,1
150,390,18,2
155,390,17,3
160,388,19,3
165,388,19,3
170,386,21,3
175,386,20,4
180,385,21,4
185,383,22,5
190,383,22,5
195,380,25,5
200,379,26,5
205,378,27,5
210,378,27,5
215,376,27,7
220,375,28,7
225,373,29,8
230,372,30,8
235,371,30,9
240,369,32,9
245,368,32,10
250,368,32,10
255,367,33,10
260,367,32,11
265,366,32,12
270,364,34,12
275,361,37,12
280,361,37,12
285,361,36,13
290,360,36,14
295,359,37,14
300,358,37,15
305,355,40,15
310,354,41,15
315,350,45,15
320,350,44,16
325,349,44,17
330,347,46,17
335,344,48,18
340,344,48,18
345,342,47,21
350,340,47,23
355,339,48,23
360,339,46,25
365,336,48,26
370,331,53,26
375,331,52,27
380,329,52,29
385,327,53,30
390,325,54,31
395,322,56,32
400,321,56,33
405,321,54,35
410,319,56,35
415,318,56,36
420,317,56,37
425,316,56,38
430,315,57,38
435,314,56,40
440,313,56,41
445,308,57,45
450,304,61,45
455,303,61,46
460,301,62,47
465,299,63,48
470,298,62,50
475,297,62,51
480,296,60,54
485,296,59,55
490,295,58,57
495,295,57,58
500,294,57,59
505,293,58,59
510,291,59,60
515,289,59,62
520,288,58,64
525,286,60,64
530,284,62,64
535,280,64,66
540,278,64,68
545,277,63,70
550,275,65,70
555,272,67,71
560,271,65,74
565,267,67,76
570,263,69,78
575,263,67,80
580,261,67,82
585,259,69,82
590,257,71,82
595,254,72,84
600,254,72,84
605,253,71,86
610,250,70,90
615,249,69,92
620,245,73,92
625,244,72,94
630,240,72,98
635,240,71,99
640,239,70,101
645,238,69,103
650,238,68,104
655,238,67,105
660,236,69,105
665,236,66,108
670,236,64,110
675,233,66,111
680,232,65,113
685,228,68,114
690,226,66,118
695,225,65,120
700,225,65,120
705,224,64,122
710,223,62,125
715,222,61,127
720,222,60,128
725,222,60,128
730,221,59,130
735,219,60,131
740,219,57,134
745,219,57,134
750,217,57,136
755,216,57,137
760,214,55,141
765,210,58,142
770,210,54,146
775,209,52,149
780,208,52,150
785,204,54,152
790,202,55,153
795,202,53,155
800,200,52,158
805,199,50,161
810,199,48,163
815,198,49,163
820,197,47,166
825,196,47,167
830,196,47,167
835,195,47,168
840,194,46,170
845,193,46,171
850,192,44,174
855,190,46,174
860,189,44,177
865,187,46,177
870,187,45,178
875,186,46,178
880,186,45,179
885,186,45,179
890,185,45,180
895,184,43,183
900,184,41,185
905,183,39,188
910,182,38,190
915,182,37,191
920,182,36,192
925,182,35,193
930,181,35,194
935,181,35,194
940,179,35,196
945,178,34,198
950,178,34,198
955,177,33,200
960,177,29,204
965,177,29,204
970,177,29,204
975,177,27,206
980,177,27,206
985,176,25,209
990,176,24,210
995,175,25,210
1000,175,24,211
1005,175,22,213
1010,173,23,214
1015,171,24,215
1020,171,24,215
1025,170,25,215
1030,168,27,215
1035,167,28,215
1040,167,26,217
1045,167,25,218
1050,166,24,220
1055,166,24,220
1060,166,24,220
1065,166,22,222
1070,166,20,224
1075,166,20,224
1080,165,21,224
1085,164,21,225
1090,164,21,225
1095,164,21,225
1100,163,21,226
1105,163,19,228
1110,163,19,228
1115,163,18,229
1120,162,18,230
1125,162,17,231
1130,162,17,231
1135,162,17,231
1140,162,17,231
1145,162,17,231
1150,162,17,231
1155,162,17,231
1160,162,16,232
1165,162,16,232
1170,162,16,232
1175,162,16,232
1180,161,17,232
1185,160,18,232
1190,160,17,233
1195,160,14,236
1200,160,14,236
1205,159,15,236
1210,159,13,238
1215,159,11,240
1220,159,8,243
1225,159,8,243
1230,159,8,243
1235,159,8,243
1240,159,6,245
